name,address,postal_code,lat,lon,service_category,type
CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINT-HENRI,"5205, rue Notre-Dame Ouest",H4C3L2,45.46969985961914,-73.59400177001953,community_service_211,Hospital; Addiction
CLSC RENÉ-CASSIN,"5800, boulevard Cavendish",H4W2T5,45.475799560546875,-73.66549682617188,community_service_211,CLSC
HÔPITAL RICHARDSON,"5425, avenue Bessborough",H4V2S7,45.47200012207031,-73.6458969116211,community_service_211,Hospital
CLSC ET GROUPE DE MÉDECINE DE FAMILLE UNIVERSITAIRE CÔTE-DES-NEIGES,"5700, chemin de la Côte-des-Neiges",H3T2A8,45.498199462890625,-73.6272964477539,community_service_211,CLSC; Hospital
CLSC ET GROUPE DE MÉDECINE DE FAMILLE UNIVERSITAIRE MÉTRO,"1801, boulevard de Maisonneuve Ouest",H3H1J9,45.494598388671875,-73.58100128173828,community_service_211,CLSC; Hospital
CENTRE D'HÉBERGEMENT NOTRE-DAME-DE-LA-MERCI,"555, boulevard Gouin Ouest",H3L1K5,45.54759979248047,-73.68769836425781,community_service_211,Hospital
CLSC DE MONTRÉAL-NORD,"11441, boulevard Lacordaire",H1G4J9,45.6072998046875,-73.62000274658203,community_service_211,CLSC
CLSC D'AHUNTSIC,"1165, boulevard Henri-Bourassa Est",H2C3K2,45.5614013671875,-73.66590118408203,community_service_211,CLSC
HÔPITAL FLEURY,"2180, rue Fleury Est",H2B1K3,45.571800231933594,-73.65039825439453,community_service_211,Hospital
HÔPITAL JEAN-TALON,"1385, rue Jean-Talon Est",H2E1S6,45.5458984375,-73.6094970703125,community_service_211,Hospital
CLSC DE VILLERAY,"1425, rue Jarry Est",H2E1A7,45.551300048828125,-73.62110137939453,community_service_211,CLSC
CLSC DE LA PETITE-PATRIE,"6520, rue de Saint-Vallier",H2S2P7,45.5348014831543,-73.6052017211914,community_service_211,CLSC
CHSLD DE SAINT-MICHEL,"3130, rue Jarry Est",H1Z4N8,45.5620002746582,-73.61029815673828,community_service_211,Hospital
CLSC DE SAINT-LÉONARD,"5540, rue Jarry Est",H1P1T9,45.58530044555664,-73.58989715576172,community_service_211,CLSC; Hospital
CLSC ET GROUPE DE MÉDECINE DE FAMILLE UNIVERSITAIRE DE HOCHELAGA-MAISONNEUVE,"4201, rue Ontario Est",H1V1K2,45.551300048828125,-73.54090118408203,community_service_211,CLSC; Hospital
