name,lat,lon,service_category,address,type,source
Habitation L'Annexe,45.459051,-73.595558,community_service_211,,assisted_living,openstreetmap
Gepisi,45.521483,-73.562317,community_service_211,1223 Rue Ontario Est,outreach,openstreetmap
Le Ministère,45.520454,-73.586824,community_service_211,4521 Boulevard Saint-Laurent,community_centre,openstreetmap
Suspicious Fish,45.454811,-73.567961,community_service_211,5161 Wellington,community_centre,openstreetmap
¡Espace Amalgame?,45.526944,-73.601049,community_service_211,5691 Boulevard Saint-Laurent,community_centre,openstreetmap
Café Mission Keurig,45.506922,-73.557719,community_service_211,,social_facility,openstreetmap
Espace culturel des Productions Feux Sacrés,45.498697,-73.554067,community_service_211,43 Rue des Soeurs-Grises,community_centre,openstreetmap
Le Frigo De L'Est,45.574042,-73.535575,community_service_211,6055 Rue Hochelaga,charity,openstreetmap
Maison du Brasseur,45.433369,-73.689927,community_service_211,2901 Boulevard Saint Joseph,community_centre,openstreetmap
Centre d'hébergement Notre-Dame-de-la-Merci,45.547786,-73.687331,community_service_211,555 Boulevard Gouin Ouest,nursing_home,openstreetmap
CHSLD Paul-Lizotte,45.627376,-73.620237,community_service_211,,nursing_home,openstreetmap
Centre d'Hébergement Marie-Victorin,45.616084,-73.603904,community_service_211,,nursing_home,openstreetmap
Pavillon Montfort,45.619684,-73.60513,community_service_211,,social_facility,openstreetmap
École Saint-Justin Annexe,45.606237,-73.53196,community_service_211,5005 Rue Mousseau,community_centre,openstreetmap
"Elogia, Groupe Maurice",45.569864,-73.550737,community_service_211,,group_home,openstreetmap
CHSLD Benjamin-Victor-Rousselot,45.57283,-73.551077,community_service_211,5655 Rue Sherbrooke Est,nursing_home,openstreetmap
Association culturelle haïtienne La Perle Retrouvée,45.568567,-73.600247,community_service_211,7655 20e Avenue,community_centre,openstreetmap
Centre de loisirs Saints-Martyrs-Canadiens,45.571765,-73.647471,community_service_211,10125 Rue Parthenais,community_centre,openstreetmap
Résidence de Salaberry,45.530882,-73.710312,community_service_211,5555 Rue De Salaberry,group_home,openstreetmap
Armenian Society From Istanbul,45.532701,-73.693164,community_service_211,,community_centre,openstreetmap
Résidence Les Deux Aires,45.548403,-73.685786,community_service_211,505 Boulevard Gouin Ouest,group_home,openstreetmap
Centre d'hébergement Armand-Lavergne,45.535701,-73.563475,community_service_211,3500 Rue Chapleau,nursing_home,openstreetmap
Résidence Piero-Corti,45.543118,-73.558247,community_service_211,3131 Rue Sherbrooke Est,group_home,openstreetmap
CHSLD J.-Henri Charbonneau,45.542689,-73.559028,community_service_211,3095 Rue Sherbrooke Est,nursing_home,openstreetmap
Centre d'hébergement Nicolet,45.547564,-73.548442,community_service_211,2300 Rue Nicolet,nursing_home,openstreetmap
Carrefour d’alimentation et de partage Saint-Barnabé,45.553691,-73.533539,food_bank,1475 Bennett,food_bank,openstreetmap
CHSLD Providence Notre-Dame de Lourdes,45.549759,-73.540636,community_service_211,1870 Boulevard Pie-IX,nursing_home,openstreetmap
Centre de soins prolongés Grace Dart,45.559458,-73.528522,community_service_211,5155 Rue Sainte-Catherine Est,nursing_home,openstreetmap
Centre d'Hébergement Paul-Émile-Léger,45.509333,-73.560028,community_service_211,,nursing_home,openstreetmap
CHSLD St-Georges,45.512816,-73.575035,community_service_211,,nursing_home,openstreetmap
Héritage Plateau,45.520814,-73.578517,community_service_211,,group_home,openstreetmap
